event_key,name,active,event_start,event_end,event_type,event_subtype,seats,description,speakers,moderators,artists,sponsors,exhibitors,volunteers,venue,address,media_url,company,audience,subject,geo_area,tags,host_org,rsvp_url,surveys
44,Keep talking and nobody explodes,Y,11/11/2016 6:00 PM,11/11/2016 10:00 PM,Computer Game,,,A game were 1 person looks at the boom and the rest at the bomb manual,,Nick griffin,,,,,Computer Games,,,,,,,,,,y
45,Iron Cosplay,Y,11/11/2016 2:00 PM,11/11/2016 5:00 PM,Panel,,,Join the DSU Anime club for our annual Iron Cosplay panel where participants will build their own costume using fabric and various recycle goods. Participants will make a costume based off a theme for a chance to win great anime prizesin this friendly competition!,,Bryce Blocker,,,,,Theater,,,,,,,,Anime Club,,y
46,New Anime 2016,Y,11/12/2016 4:00 PM,11/12/2016 5:00 PM,Panel,,,Come talk with Cassandra Tain about all the newest anime. This panel focuses on new anime that can supportively streamed from Crunchyroll and Hulu.,,Cassandra Nixon,,,,,Gaming Table 3,,,,,,,,,,y
47,We Be Goblins,Y,11/11/2016 3:00 PM,11/11/2016 7:00 PM,Role Playing,,,"We Be Goblins! is an adventure for 1st-level characters in which the PCs play a horde of malicious and murderous goblins, written for the Pathfinder Roleplaying Game and compatible with the 3.5 edition of the world's oldest RPG.",,Josh Pierce,,,,,RPGA Table 5,,,,,,,,Pathfinder Society,,y
48,We Be Goblins Too!,Y,11/12/2016 12:00 PM,11/12/2016 4:00 PM,Role Playing,,,"""We Be Goblins Too!"" is an adventure for four 3rd-level goblin characters, written for the Pathfinder Roleplaying Game and compatible with the 3.5 edition of the world's oldest roleplaying game.",,Josh Pierce,,,,,RPGA Table 5,,,,,,,,Pathfinder Society,,y
49,We Be Goblins Free!,Y,11/12/2016 5:00 PM,11/12/2016 9:00 PM,Role Playing,,,"We Be Goblins Free! is an adventure for four 4th-level goblin characters, written for the award-winning Pathfinder Roleplaying Game.",,Josh Pierce,,,,,RPGA Table 5,,,,,,,,Pathfinder Society,,y
5,Tear Down,Y,11/13/2016 5:00 PM,11/13/2016 8:00 PM,Tearing down,,,Tearing down Nanoncon,,Luther Johnson,,,,,General Gaming Area,,,,,,,,Nanocon,,y
50,We B4 Goblins,Y,11/13/2016 11:00 AM,11/13/2016 3:00 PM,Role Playing,,,"We B4 Goblins is an adventure for four goblin characters just beginning their careers of mischief and mayhem, written for the award-winning Pathfinder Roleplaying Game.",,Josh Pierce,,,,,RPGA Table 5,,,,,,,,Pathfinder Society,,y
51,Codenames,Y,11/11/2016 1:00 PM,11/11/2016 3:00 PM,Board Game,,,"Two rival spymasters know the secret identities of 25 agents. Their teammates know the agents only by their CODENAMES.<br /> <br /> In Codenames, two teams compete to see who can make contact with all of their agents first. Spymasters give one-word clues that can point to multiple words on the board. Their teammates try to guess words of the right color while avoiding those that belong to the opposing team. And everyone wants to avoid the assassin.<br /> <br /> Codenames: Win or lose, it's fun to figure out the clues.",,Rachel Groth,,,,,Gaming Table 5,,,,,,,,,,n
52,Delta Green - Last Things Last,Y,11/10/2016 5:00 PM,11/10/2016 7:30 PM,Role Playing,,,"The Unnatural is out there, and someone has to keep this green ball hurling through space safe. Delta Green are those people.<br /> <br /> Deception is a Right<br /> Truth is a Privilege<br /> Innocence is a Luxury",,Adam Larson,,,,,RPGA Table 4,,,,,,,,,,n
